geoid10,los_dist_score,los_acre_score,los_exp_score,los_total_score,la_dist_score,la_acre_score,la_exp_score,la_total_score,gw_score_loop_contiguous,los_gw_total_score,la_gw_total_score,totpop_2018,area,popdensity_sqmi,tothh_2018
"371830545003032","2","2","3","7","2","2","3","7","3","10","10",0,0.00437792881403939,0,"0"
"371830545002030","4","4","4","12","4","4","4","12","4","16","16",0,0.00342520170637432,0,"0"
"371830537122000","3","2","2","7","3","2","2","7","3","10","10",0,0.0013558568630299,0,"0"
"371830540043001","5","5","4","14","5","5","4","14","2","16","16",67,0.0107176353502525,6251.37894791515,"29"
"371830540141040","2","2","1","5","3","4","2","9","4","9","13",89,0.00228370375944959,38971.7797817395,"31"
"371830540082004","4","3","3","10","4","3","3","10","2","12","12",44,0.00199646912450951,22038.9083206132,"14"
"371830541043042","3","2","2","7","3","2","2","7","3","10","10",30,0.00207909587257453,14429.3490241271,"11"
"371830527012006","3","3","4","10","3","3","4","10","2","12","12",0,0.00892310486168967,0,"0"
"371830524072019","5","5","4","14","5","5","4","14","3","17","17",36,0.0137086466003097,2626.07980565979,"19"
"371830524041013","4","5","4","13","4","5","4","13","4","17","17",28,0.0105658581832955,2650.04503318695,"11"
"371830511012018","3","5","4","12","3","5","4","12","4","16","16",33,0.00791789259748508,4167.77565415343,"14"
"371830524043007","4","5","4","13","4","5","4","13","4","17","17",58,0.0316513550916777,1832.46498710731,"23"
"371830515012008","4","3","4","11","4","3","5","12","5","16","17",31,0.00726474232436595,4267.18507221185,"10"
"371830505003016","5","4","5","14","5","5","5","15","5","19","20",22,0.00901361050976513,2440.75334475189,"13"
"371830528061032","3","1","1","5","3","2","2","7","4","9","11",32,0.00295862492213475,10815.8353431671,"9"
"371830521013008","2","3","4","9","2","3","4","9","3","12","12",77,0.00331498994000406,23227.82312875,"16"
"371830521013003","2","3","4","9","2","3","4","9","3","12","12",201,0.0137049985301671,14666.1817991124,"54"
"371830530081020","2","4","2","8","2","4","2","8","3","11","11",51,0.00604805471612337,8432.46339422828,"27"
"371830523013022","3","5","3","11","3","5","3","11","3","14","14",0,0.0442913811173248,0,"0"
"371830540121014","2","3","3","8","2","3","3","8","2","10","10",23,0.00616627744162024,3729.96515608558,"7"
"371830540121013","2","4","3","9","2","4","3","9","3","12","12",2,0.013262722973773,150.798595729927,"2"
"371830518003007","4","3","4","11","4","4","5","13","4","15","17",22,0.00863692051185467,2547.20417651219,"15"
"371830541043002","2","2","2","6","4","3","3","10","2","8","12",0,0.000257072166665798,0,"0"
"371830524062007","1","5","3","9","2","5","3","10","3","12","13",0,0.00551533903887532,0,"0"
"371830521021044","5","5","4","14","5","5","4","14","5","19","19",31,0.0113878502768635,2722.19947104347,"8"
